cust_id,lookalikes
C0001,"[('C0072', 0.9863938573024578), ('C0039', 0.9482846033887867), ('C0055', 0.9471993011640225)]"
C0002,"[('C0010', 0.9894837994036254), ('C0029', 0.9665852811739356), ('C0111', 0.9603444892442184)]"
C0003,"[('C0052', 0.9929435059730934), ('C0160', 0.969243198682835), ('C0166', 0.9304182803276919)]"
C0004,"[('C0101', 0.9977380282922208), ('C0075', 0.9851373234583762), ('C0165', 0.9848602284840322)]"
C0005,"[('C0186', 0.985385214782424), ('C0095', 0.9657818740283121), ('C0035', 0.9555573026308217)]"
C0006,"[('C0168', 0.9660552464345318), ('C0044', 0.9607097436678451), ('C0187', 0.9582572053055602)]"
C0007,"[('C0120', 0.9948603268563626), ('C0140', 0.9456223077527695), ('C0026', 0.9397939042966427)]"
C0008,"[('C0113', 0.9312423043320055), ('C0012', 0.8965364821497436), ('C0065', 0.8769275643260539)]"
C0009,"[('C0077', 0.9951415501180727), ('C0198', 0.9653862934793466), ('C0010', 0.9546709262460243)]"
C0010,"[('C0002', 0.9894837994036254), ('C0077', 0.9673527274880055), ('C0083', 0.9558428776910448)]"
C0011,"[('C0137', 0.9840354870735951), ('C0057', 0.9658053747656175), ('C0169', 0.9363831000863021)]"
C0012,"[('C0113', 0.9475900902481253), ('C0065', 0.9337268075788533), ('C0008', 0.8965364821497436)]"
C0013,"[('C0053', 0.9754014233525606), ('C0145', 0.9344765575798265), ('C0108', 0.9219400991651482)]"
C0014,"[('C0097', 0.9797279623206362), ('C0128', 0.9734462473993006), ('C0025', 0.8855794567645379)]"
C0015,"[('C0063', 0.9848852608517297), ('C0071', 0.9582918561003452), ('C0036', 0.9566639566554878)]"
C0016,"[('C0183', 0.9995936909488078), ('C0107', 0.9818715126407732), ('C0067', 0.9498134659636284)]"
C0017,"[('C0075', 0.9747077207777916), ('C0004', 0.9656788785290582), ('C0122', 0.9622898003557278)]"
C0018,"[('C0117', 0.9699669917514088), ('C0153', 0.9281265211510061), ('C0187', 0.9166703179115637)]"
C0019,"[('C0116', 0.9791651611127394), ('C0094', 0.9093688492920508), ('C0121', 0.869285362857846)]"
C0020,"[('C0130', 0.9323811223759654), ('C0112', 0.9191649676425746), ('C0120', 0.896973983234668)]"
